time,Bx,By,Bz,BT
1.398220,0.23,30.74,-17.75,35.49
1.407897,0.01,30.51,-17.40,35.12
1.418394,-0.09,30.91,-17.54,35.54
1.427806,0.01,30.91,-17.62,35.57
1.438394,0.05,30.78,-17.52,35.42
1.447728,0.09,30.78,-17.55,35.43
1.457378,0.07,30.71,-17.36,35.28
1.467982,0.07,30.68,-17.36,35.25
1.482412,0.32,30.46,-17.28,35.02
1.501560,0.58,30.47,-17.47,35.12
1.503370,0.78,30.41,-17.41,35.05
1.507922,0.62,30.31,-17.08,34.80
1.517382,0.72,30.44,-17.02,34.88
1.526504,0.92,30.40,-16.92,34.80
1.538031,0.74,30.65,-17.08,35.10
1.547109,0.58,30.49,-17.20,35.01
1.557149,0.37,30.58,-17.41,35.19
1.581103,0.47,30.67,-17.41,35.27
1.582919,-0.09,30.62,-17.53,35.28
1.615168,-0.01,30.64,-17.98,35.53
1.617417,-0.13,30.76,-17.79,35.53
1.618261,-0.45,30.84,-17.77,35.59
1.619155,-0.21,30.74,-17.87,35.56
1.627132,-0.46,30.93,-17.83,35.70
1.636272,-0.68,31.08,-17.55,35.70
1.647679,-0.74,30.99,-17.60,35.65
1.657002,-0.30,30.98,-17.83,35.75
1.667314,-0.54,30.95,-17.56,35.59
1.678183,-0.39,30.82,-17.64,35.51
1.692221,-0.39,30.76,-17.69,35.49
1.699308,-0.72,30.81,-17.60,35.49
1.708601,-0.47,30.75,-17.60,35.43
1.717848,-0.27,30.58,-17.77,35.37
1.727427,-0.35,30.55,-17.67,35.29
1.738091,-0.47,30.61,-17.52,35.27
1.748896,-0.11,30.80,-17.46,35.41
1.759296,-0.05,30.93,-17.56,35.56
1.768194,0.15,31.01,-17.69,35.71
1.777928,0.39,31.10,-17.79,35.83
1.790510,0.65,31.13,-17.81,35.87
1.798129,0.67,31.27,-17.98,36.08
1.807420,0.44,31.39,-17.87,36.12
1.817947,0.67,31.37,-17.62,35.99
1.830381,0.65,31.26,-17.64,35.90
1.838821,0.47,31.28,-17.62,35.91
1.848210,0.33,31.10,-17.65,35.77
1.858603,0.13,31.07,-17.60,35.71
1.868263,-0.01,31.02,-17.37,35.55
1.878216,-0.07,31.04,-17.25,35.52
1.892446,-0.02,31.15,-17.46,35.71
1.898644,-0.29,30.94,-17.75,35.68
1.912723,-0.41,30.87,-17.73,35.61
1.918127,-0.07,30.78,-17.69,35.50
1.928636,-0.10,31.26,-17.54,35.84
1.938688,0.22,31.27,-17.52,35.85
1.948168,0.35,31.24,-17.83,35.98
1.958056,0.31,30.97,-17.89,35.76
1.968435,0.39,30.86,-17.94,35.70
1.977630,0.27,30.94,-17.79,35.69
1.988412,0.35,31.01,-17.81,35.76
1.998493,-0.04,31.14,-17.76,35.85
2.009500,0.15,30.92,-17.61,35.59
2.017049,0.07,30.94,-17.56,35.58
2.035563,0.03,31.07,-17.60,35.71
2.037477,0.43,31.29,-17.46,35.83
2.048067,0.55,31.18,-17.27,35.65
2.057174,0.79,30.96,-17.30,35.47
2.066831,0.71,30.89,-17.28,35.40
2.077192,1.04,30.64,-17.39,35.25
2.089953,0.88,30.60,-17.58,35.31
2.098437,0.66,30.53,-17.64,35.27
2.108141,0.43,30.61,-17.53,35.28
2.117192,0.01,30.72,-17.71,35.46
2.130303,-0.15,30.84,-17.60,35.50
2.149976,-0.23,30.93,-17.56,35.57
2.152654,-0.26,31.00,-17.58,35.64
2.157637,-0.46,31.10,-17.54,35.71
